,accgdln,age,altdum,amttotal,casetype,citwhere,combdrg2,crimhist,disposit,district,drugmin,dsplea,educatn,intdum,methmin,monrace,monsex,mweight,newcit,newcnvtn,neweduc,newrace,nodrug,numdepen,offguide,prisdum,probatn,probdum,quarter,reas1,reas2,reas3,regsxmin,relmin,restdet1,restdum,safe,safety,senspcap,sensplt0,sentimp,smax1,smin1,sources,statmax,statmin,supermax,supermin,suprdum,suprel,timservc,totchpts,totrest,totunit,typemony,typeoths,unit1,mwgt1,wgt1,xcrhissr,xfolsor,xmaxsor,xminsor,sentrnge,no_of_misclass
0,1.0,20.0,0,0,1.0,211.0,6.0,1.0,1,43,0,1,12.0,0,0,2,1.0,64756246.960035145,0.0,0,3.0,2.0,1.0,0.0,10,1,0,0,1,11.0,60.0,61.0,0,0,4.0,0.0,1.0,1.0,13.0,13.0,1,240.0,0.0,1,240.0,0.0,36.0,12.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,17.0,30.0,24.0,8.0,1
2,1.0,28.0,0,0,1.0,211.0,3.0,1.0,1,48,120,1,34.0,0,0,1,0.0,2400000.0,0.0,0,5.0,3.0,2.0,2.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,125.0,125.0,1,9996.0,120.0,1,9996.0,120.0,996.0,60.0,1,60,0.0,14.0,0.0,1.0,1.0,0,2.0,2000000.0,2000.0,6.0,27.0,162.0,130.0,2.0,1
5,8.0,22.0,0,125,2.0,211.0,4.0,1.0,1,87,0,5,12.0,0,0,1,1.0,64756246.960035145,0.0,0,3.0,1.0,1.0,1.5311047437121936,9,0,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0,4235.351225064398,65.45090756604564,9,4843.041394596537,76.94739995207284,12.0,34.99150401836969,0,0,0.0,4.781741931562633,0.0,1.0106441214038075,3.0,0,1.0,63560994.99244218,85104.43331456716,1.0,2.0,6.0,0.0,0.0,1
7,1.0,30.0,0,0,1.0,49.0,3.0,1.0,1,39,60,1,11.0,0,0,1,0.0,12900000.0,1.0,0,1.0,3.0,2.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,24,0.0,0.0,0.0,1.0,1.0,0,1.0,8900000.0,8900.0,1.0,29.0,108.0,87.0,2.0,1
10,1.0,31.0,0,0,1.0,211.0,6.0,1.0,1,62,60,1,12.0,0,0,1,1.0,715400.0,0.0,0,3.0,1.0,1.0,0.0,10,1,0,0,1,65.0,865.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,960.0,60.0,60.0,48.0,1,48,0.0,12.0,0.0,1.0,1.0,0,1.0,715400.0,35.77,5.0,25.0,125.0,100.0,8.0,1
19,1.0,35.0,0,0,1.0,211.0,4.0,1.0,1,31,0,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,3.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,78.0,78.0,1,240.0,0.0,1,480.0,0.0,60.0,36.0,1,36,0.0,3.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,2.0,25.0,78.0,63.0,0.0,1
22,1.0,49.0,0,0,1.0,211.0,1.0,1.0,3,1,60,8,34.0,0,0,1,0.0,64756246.960035145,0.0,1,5.0,1.0,1.0,0.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,210.0,210.0,1,480.0,60.0,1,960.0,60.0,48.0,48.0,1,48,0.0,8.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,6.0,34.0,327.0,262.0,7.0,1
42,2.0,48.0,0,0,1.0,211.0,6.0,1.0,1,30,120,1,10.0,0,0,1,0.0,1904000.0,0.0,0,1.0,3.0,1.0,1.0,10,1,0,0,1,19.0,686.0,849.0,0,0,0.0,0.0,2.0,1.0,30.0,30.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,36,0.0,3.0,0.0,1.0,1.0,0,1.0,1904000.0,95.2,2.0,27.0,97.0,78.0,2.0,1
44,1.0,34.0,1,0,1.0,211.0,6.0,1.0,1,12,60,1,12.0,0,0,1,0.0,613400.0,0.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,12.0,12.0,2,480.0,60.0,1,480.0,60.0,60.0,24.0,1,60,0.0,1.0,0.0,1.0,3.0,0,1.0,613400.0,30.67,1.0,21.0,46.0,37.0,2.0,1
48,1.0,37.0,0,0,1.0,211.0,6.0,1.0,1,24,0,1,12.0,0,0,1,0.0,106000.0,0.0,0,3.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,70.0,70.0,1,240.0,0.0,1,360.0,0.0,36.0,12.0,1,36,0.0,7.0,0.0,1.0,1.0,0,1.0,106000.0,53.0,4.0,23.0,87.0,70.0,0.0,1
57,2.0,45.0,0,0,1.0,211.0,1.0,1.0,1,51,0,1,21.0,0,0,2,0.0,64756246.960035145,0.0,0,3.0,2.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,12.0,12.0,1,240.0,0.0,1,480.0,0.0,36.0,12.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,13.0,18.0,12.0,0.0,1
63,1.0,19.0,0,0,1.0,211.0,4.0,1.0,1,51,0,1,11.0,0,0,2,0.0,25.78,0.0,0,1.0,2.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,60.0,0.0,1,9996.0,60.0,60.0,24.0,1,36,0.0,1.0,0.0,1.0,1.0,0,1.0,25.78,25.78,1.0,4.0,6.0,0.0,0.0,1
66,1.0,53.0,1,0,1.0,211.0,4.0,1.0,1,13,60,1,11.0,0,0,2,0.0,64756246.960035145,0.0,0,1.0,2.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,12.03,12.03,2,480.0,60.0,1,480.0,60.0,60.0,24.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,23.0,57.0,46.0,2.0,1
69,2.0,35.0,0,0,1.0,211.0,6.0,1.0,1,63,120,5,32.0,0,0,2,0.0,64756246.960035145,0.0,0,1.0,2.0,1.0,4.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,160.0,160.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,4.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,3.0,31.0,168.0,135.0,0.0,1
72,1.0,28.0,0,0,1.0,211.0,6.0,1.0,1,63,120,5,34.0,0,0,2,1.0,1342600.0,0.0,0,5.0,2.0,1.0,3.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,9996.0,120.0,1,9996.0,120.0,137.440206185567,60.0,1,60,0.0,9.0,0.0,1.0,1.0,0,1.0,1342600.0,67.13,4.0,27.0,125.0,100.0,0.0,1
73,2.0,39.0,0,0,1.0,211.0,6.0,1.0,1,63,120,1,9.0,0,0,1,0.0,1135185.2,0.0,0,1.0,3.0,3.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,9996.0,120.0,1,9996.0,120.0,137.440206185567,60.0,1,60,0.0,0.0,0.0,1.0,1.0,0,1.0,1098000.0,54.9,1.0,27.0,87.0,70.0,0.0,1
76,1.0,29.0,0,0,1.0,211.0,77.0,0.0,1,43,0,1,34.0,0,0,2,1.0,64756246.960035145,0.0,0,5.0,2.0,1.0,2.0,10,1,0,0,1,2.0,1206.0,60.0,0,0,0.0,0.0,1.0,1.0,18.0,18.0,1,240.0,0.0,1,240.0,0.0,36.0,12.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,19.0,37.0,30.0,8.0,1
79,1.0,38.0,0,0,1.0,211.0,6.0,1.0,1,54,60,1,34.0,0,0,1,1.0,45213800.0,0.0,0,5.0,3.0,2.0,3.0,10,1,0,0,1,16.0,17.0,1200.0,0,0,0.0,0.0,1.0,1.0,0.03,0.03,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,48,997.0,0.0,0.0,1.0,1.0,0,1.0,44206000.0,2210.3,1.0,23.0,57.0,46.0,8.0,1
80,1.0,29.0,0,0,1.0,49.0,6.0,0.0,1,41,120,1,34.0,0,0,1,0.0,493800000.0,1.0,0,5.0,3.0,1.0,3.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,72.0,72.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,60,0.0,0.0,0.0,1.0,1.0,0,2.0,493800000.0,24690.0,1.0,35.0,210.0,168.0,8.0,1
81,1.0,30.0,0,0,1.0,211.0,77.0,1.0,1,43,0,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,4.0,0.0,1.0,1.0,40.0,40.0,1,240.0,0.0,1,240.0,0.0,36.0,12.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,21.0,46.0,37.0,0.0,1
84,1.0,39.0,0,0,1.0,211.0,6.0,1.0,1,49,0,1,21.0,0,0,2,0.0,45500.0,0.0,0,3.0,2.0,2.0,2.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,37.0,37.0,1,240.0,0.0,1,240.0,0.0,36.0,36.0,1,36,0.0,8.0,0.0,1.0,1.0,0,1.0,38000.0,19.0,4.0,17.0,46.0,37.0,0.0,1
86,1.0,48.0,0,0,1.0,211.0,6.0,1.0,1,43,60,1,10.0,0,0,1,1.0,145180.0,0.0,0,1.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,4.0,0.0,0.0,0.0,77.0,77.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,14.0,0.0,1.0,1.0,0,1.0,145180.0,72.59,6.0,21.0,96.0,77.0,0.0,1
91,2.0,33.0,0,0,1.0,211.0,1.0,1.0,1,49,60,1,12.0,0,0,2,0.0,64756246.960035145,0.0,0,3.0,2.0,1.0,0.0,10,1,0,0,1,19.0,875.0,4.0,0,0,0.0,0.0,2.0,1.0,24.0,24.0,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,36,0.0,4.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,3.0,21.0,57.0,46.0,2.0,1
92,1.0,45.0,0,0,1.0,211.0,6.0,1.0,1,62,120,1,12.0,0,0,2,0.0,171246960.0,0.0,0,3.0,2.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,300.0,300.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,29.0,0.0,1.0,1.0,0,1.0,128951200.0,6447.56,6.0,37.0,9996.0,360.0,2.0,1
96,1.0,33.0,0,0,1.0,28.0,1.0,0.0,1,40,120,1,12.0,0,0,1,0.0,64756246.960035145,1.0,0,3.0,3.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,135.0,135.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,24,0.0,0.0,0.0,1.0,1.0,3,1.0,63560994.99244218,85104.43331456716,1.0,33.0,168.0,135.0,0.0,1
97,1.0,36.0,0,0,1.0,211.0,6.0,1.0,1,67,60,1,22.0,0,0,1,0.0,64756246.960035145,0.0,0,5.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,77.0,77.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,20.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,6.0,21.0,96.0,77.0,0.0,1
99,1.0,54.0,0,0,1.0,211.0,6.0,1.0,1,76,0,1,24.0,0,0,1,1.0,71280.0,0.0,0,6.0,1.0,1.0,0.0,10,1,0,0,1,19.0,2.0,1206.0,0,0,0.0,0.0,0.0,0.0,20.0,20.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,36,0.0,28.0,0.0,1.0,1.0,0,1.0,71280.0,35.64,6.0,14.0,46.0,37.0,2.0,1
103,1.0,51.0,0,0,1.0,211.0,6.0,1.0,1,51,0,1,12.0,0,0,1,0.0,157823.18,0.0,0,3.0,1.0,2.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,30.0,30.0,1,240.0,0.0,1,240.0,0.0,36.0,12.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,157720.0,78.86,1.0,19.0,37.0,30.0,0.0,1
108,2.0,36.0,0,0,1.0,211.0,4.0,1.0,1,41,60,1,34.0,0,0,2,0.0,64756246.960035145,0.0,0,5.0,3.0,1.0,2.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,20.46,20.46,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,24,20.46,1.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,21.0,46.0,37.0,2.0,1
111,1.0,41.0,0,900,1.0,49.0,6.0,1.0,1,61,60,1,9.0,0,0,1,0.0,1691920.0,1.0,0,1.0,3.0,2.0,3.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,76.0,76.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,5.0,0.0,1.0,3.0,0,1.0,1636000.0,81.8,3.0,27.0,108.0,87.0,2.0,1
113,1.0,38.0,0,0,1.0,211.0,77.0,1.0,1,25,0,5,12.0,0,0,2,0.0,401397.0,0.0,0,3.0,2.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,92.0,92.0,1,240.0,0.0,1,240.0,0.0,996.0,36.0,1,36,0.0,16.0,0.0,1.0,1.0,0,10.0,401397.0,59.91,6.0,23.0,115.0,92.0,0.0,1
115,1.0,32.0,0,0,1.0,211.0,6.0,1.0,1,53,120,1,11.0,0,0,1,0.0,1610000.0,0.0,0,1.0,1.0,1.0,3.0,10,1,0,0,1,2.0,3.0,686.0,0,0,0.0,0.0,0.0,0.0,126.0,126.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,16.0,0.0,1.0,1.0,0,1.0,1610000.0,80.5,6.0,27.0,162.0,130.0,8.0,1
117,1.0,20.0,0,0,1.0,49.0,4.0,0.0,1,42,0,1,34.0,0,0,1,0.0,28870.0,1.0,0,5.0,3.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,6.0,6.0,1,60.0,0.0,1,60.0,0.0,36.0,12.0,0,0,0.0,0.0,0.0,1.0,1.0,0,2.0,28870.0,28870.0,1.0,10.0,12.0,6.0,0.0,1
119,2.0,33.0,0,1000,2.0,211.0,2.0,1.0,1,55,0,1,12.0,0,0,2,0.0,64756246.960035145,1.0,0,3.0,2.0,1.0,1.5311047437121936,9,1,0,0,1,19.0,3.0,4.0,0,0,4.0,0.0,1.0,1.0,12.0,12.0,1,12.0,0.0,9,12.0,0.0,137.440206185567,34.99150401836969,0,0,0.0,4.781741931562633,0.0,1.0106441214038075,3.0,0,1.0,63560994.99244218,85104.43331456716,1.0,24.771892149844906,297.6916607015032,146.03459794798377,8.0,1
120,1.0,32.0,0,0,1.0,49.0,6.0,1.0,1,79,120,1,12.0,0,0,1,0.0,35300000.0,1.0,0,3.0,3.0,1.0,1.0,10,1,0,0,1,2.0,3.0,4.0,0,0,0.0,0.0,2.0,1.0,51.0,51.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,60,0.0,3.0,0.0,1.0,1.0,0,1.0,35300000.0,1765.0,2.0,33.0,188.0,151.0,7.0,1
121,1.0,32.0,0,500,1.0,211.0,6.0,1.0,1,56,60,1,12.0,0,0,1,1.0,172430.0,0.0,0,3.0,1.0,3.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,37.0,37.0,1,480.0,60.0,1,480.0,60.0,60.0,24.0,1,48,0.0,0.0,0.0,1.0,3.0,0,1.0,140600.0,70.3,1.0,23.0,57.0,46.0,2.0,1
122,2.0,40.0,0,0,1.0,211.0,6.0,1.0,1,39,0,5,21.0,0,0,1,1.0,1576000.0,0.0,0,3.0,1.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,110.0,110.0,1,240.0,0.0,1,240.0,0.0,137.440206185567,36.0,1,36,0.0,9.0,0.0,1.0,1.0,0,1.0,1576000.0,788.0,4.0,27.0,125.0,100.0,0.0,1
123,2.0,52.0,0,0,1.0,211.0,6.0,1.0,1,34,60,1,8.0,0,0,2,0.0,64756246.960035145,0.0,0,1.0,2.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,78.0,78.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,11.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,5.0,25.0,125.0,100.0,2.0,1
126,2.0,32.0,0,0,1.0,211.0,6.0,1.0,1,39,0,5,10.0,0,0,1,1.0,547099.0,0.0,0,1.0,1.0,2.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,84.0,84.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,36,0.0,23.0,0.0,1.0,1.0,0,1.0,547060.0,273.53,6.0,23.0,115.0,92.0,2.0,1
131,1.0,30.0,0,0,1.0,49.0,6.0,0.0,1,85,120,1,16.0,0,0,1,0.0,4727400.0,1.0,0,6.0,3.0,2.0,0.0,10,1,0,0,1,19.0,703.0,4.0,0,0,0.0,0.0,0.0,0.0,168.0,168.0,1,9996.0,120.0,1,9996.0,180.0,60.0,24.0,1,60,0.0,0.0,0.0,1.0,1.0,0,1.0,3879600.0,1939.8,1.0,31.0,135.0,108.0,2.0,1
135,1.0,44.0,0,0,1.0,211.0,6.0,1.0,1,40,120,1,12.0,0,0,1,0.0,1060000.0,0.0,0,3.0,3.0,1.0,0.0,10,1,0,0,1,875.0,3.0,4.0,0,0,0.0,0.0,2.0,1.0,63.0,63.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,2.0,0.0,1.0,1.0,0,1.0,1060000.0,53.0,2.0,27.0,97.0,78.0,8.0,1
137,1.0,43.0,0,0,1.0,211.0,6.0,1.0,1,40,60,1,12.0,0,0,1,0.0,527200.0,0.0,0,3.0,1.0,1.0,3.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,100.0,100.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,10.0,0.0,1.0,1.0,0,1.0,527200.0,263.6,5.0,23.0,105.0,84.0,0.0,1
141,1.0,35.0,0,0,1.0,49.0,4.0,1.0,1,41,60,5,8.0,0,0,1,0.0,314390.0,1.0,0,1.0,3.0,1.0,3.0,10,1,0,0,1,19.0,875.0,4.0,0,0,0.0,0.0,2.0,1.0,27.0,27.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,3.0,0.0,1.0,1.0,0,2.0,314390.0,314390.0,2.0,21.0,51.0,41.0,2.0,1
142,1.0,30.0,0,0,1.0,211.0,3.0,1.0,1,6,60,1,21.0,0,0,1,0.0,142500.0,0.0,0,3.0,3.0,1.0,2.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,996.0,48.0,1,48,0.0,4.0,0.0,1.0,1.0,0,1.0,142500.0,142.5,3.0,21.0,57.0,46.0,0.0,1
143,2.0,40.0,0,0,1.0,211.0,6.0,1.0,1,41,120,1,10.0,0,0,1,1.0,39700000.0,0.0,0,1.0,3.0,2.0,7.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,157.0,157.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,1.0,0.0,1.0,1.0,0,2.0,39400000.0,1970.0,1.0,38.0,293.0,235.0,2.0,1
145,1.0,55.0,0,0,1.0,211.0,6.0,1.0,1,55,60,1,16.0,0,0,1,0.0,64756246.960035145,0.0,0,6.0,1.0,1.0,0.0,10,1,0,0,1,1205.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,165.0,165.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,60,0.0,19.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,6.0,32.0,262.0,210.0,7.0,1
147,1.0,40.0,0,0,1.0,49.0,1.0,0.0,1,70,120,1,8.0,0,0,1,1.0,2540000.0,1.0,0,1.0,3.0,1.0,3.0,10,1,0,0,1,48.0,1206.0,17.0,0,0,0.0,0.0,1.0,1.0,24.0,24.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,36,0.0,0.0,0.0,1.0,1.0,0,2.0,2540000.0,12700.0,1.0,23.0,57.0,46.0,3.0,1
148,1.0,23.0,0,0,1.0,211.0,2.0,1.0,1,41,120,1,34.0,0,0,1,0.0,11053390.0,0.0,0,5.0,3.0,2.0,0.0,10,1,0,0,1,19.0,60.0,875.0,0,0,0.0,0.0,2.0,1.0,81.0,81.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,4.0,0.0,1.0,1.0,0,2.0,7463390.0,2090.0,3.0,31.0,168.0,135.0,2.0,1
153,1.0,55.0,0,0,1.0,49.0,1.0,1.0,1,41,120,5,12.0,0,0,1,0.0,5224709.16,1.0,0,3.0,3.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,168.0,168.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,0.0,0.0,1.0,1.0,0,2.0,5182000.0,25910.0,1.0,35.0,210.0,168.0,0.0,1
156,1.0,36.0,0,0,1.0,211.0,3.0,1.0,1,43,120,1,10.0,0,0,2,0.0,64756246.960035145,0.0,0,1.0,2.0,1.0,3.0,10,1,0,0,1,19.0,673.0,777.0,0,0,4.0,0.0,0.0,0.0,130.0,130.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,6.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,3.0,32.0,188.0,151.0,2.0,1
158,1.0,34.0,0,0,1.0,211.0,6.0,1.0,1,24,0,1,12.0,0,0,1,0.0,64756246.960035145,0.0,0,3.0,1.0,1.0,1.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,121.0,121.0,1,240.0,0.0,1,240.0,0.0,36.0,34.99150401836969,1,36,0.0,6.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,3.0,29.0,135.0,108.0,0.0,1
159,1.0,43.0,0,0,1.0,211.0,1.0,1.0,3,17,120,8,32.0,0,0,2,0.0,2800907.2,0.0,1,1.0,2.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,420.0,420.0,1,9996.0,120.0,1,9996.0,120.0,60.0,60.0,1,60,0.0,19.0,0.0,1.0,1.0,0,2.0,2800000.0,14000.0,6.0,42.0,9996.0,360.0,0.0,1
161,1.0,28.0,0,0,1.0,49.0,77.0,0.0,1,81,120,1,37.0,0,0,1,0.0,64756246.960035145,1.0,0,1.0,3.0,1.0,2.0,10,1,0,0,1,2.0,3.0,1200.0,0,0,0.0,0.0,1.0,1.0,60.0,60.0,1,9996.0,120.0,1,9996.0,120.0,60.0,24.0,1,36,0.0,0.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,1.0,27.0,87.0,70.0,7.0,1
166,2.0,41.0,0,0,1.0,211.0,6.0,1.0,1,39,120,1,34.0,0,0,1,0.0,1144200.0,0.0,0,5.0,3.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,120.0,120.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,11.0,0.0,1.0,1.0,0,1.0,1116000.0,55.8,5.0,27.0,150.0,120.0,0.0,1
170,1.0,36.0,0,0,1.0,211.0,6.0,1.0,1,58,60,1,12.0,0,0,1,0.0,1814000.0,0.0,0,3.0,1.0,1.0,1.0,10,1,0,0,1,2.0,3.0,1206.0,0,0,0.0,0.0,2.0,1.0,72.0,72.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,6.0,0.0,1.0,1.0,0,1.0,1814000.0,907.0,3.0,31.0,168.0,135.0,8.0,1
177,1.0,46.0,0,0,1.0,211.0,6.0,1.0,1,85,60,1,12.0,0,0,1,0.0,466000.0,0.0,0,3.0,1.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,6.0,0.0,1.0,1.0,0,1.0,466000.0,233.0,3.0,23.0,71.0,57.0,0.0,1
183,1.0,31.0,0,0,1.0,211.0,6.0,1.0,1,80,60,1,34.0,0,0,1,0.0,535600.0,0.0,0,5.0,1.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,60.0,60.0,1,480.0,60.0,1,480.0,60.0,60.0,48.0,1,48,0.0,3.0,0.0,1.0,1.0,0,1.0,535600.0,26.78,2.0,23.0,63.0,51.0,0.0,1
187,1.0,51.0,0,0,1.0,211.0,2.0,1.0,1,0,0,1,8.0,0,0,1,0.0,3839640.0,0.0,0,1.0,1.0,2.0,0.0,10,1,0,0,1,4.0,1206.0,60.0,0,0,0.0,0.0,0.0,0.0,64.0,64.0,1,240.0,0.0,3,240.0,0.0,36.0,34.99150401836969,1,36,0.0,7.0,0.0,1.0,1.0,0,1.0,2999640.0,840.0,4.0,27.0,125.0,100.0,8.0,1
195,1.0,22.0,0,0,1.0,211.0,3.0,1.0,1,88,120,1,8.0,0,0,1,0.0,64756246.960035145,0.0,0,1.0,3.0,1.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0,92.0,92.0,1,9996.0,120.0,1,9996.0,120.0,60.0,34.99150401836969,1,60,0.0,8.0,0.0,1.0,1.0,0,1.0,63560994.99244218,85104.43331456716,4.0,29.0,151.0,121.0,2.0,1
200,1.0,53.0,0,0,1.0,49.0,6.0,1.0,1,42,120,1,9.0,0,0,1,0.0,2009064.0,1.0,0,1.0,3.0,2.0,0.0,10,1,0,0,1,19.0,3.0,4.0,0,0,0.0,0.0,1.0,1.0,71.0,71.0,1,240.0,0.0,1,9996.0,120.0,60.0,24.0,1,60,0.0,1.0,0.0,1.0,1.0,0,1.0,1740000.0,87.0,1.0,25.0,71.0,57.0,0.0,1
